Cond	Weight	HotIn	HotOut	ColdIn	ColdOut	Month	Day	Hour	Minute	Second
0.00	0.0	21.63	-242.02	21.59	21.56	6	4	10	18	0
0.00	0.0	21.63	-242.02	21.63	21.53	6	4	10	19	0
0.00	0.0	21.66	-242.02	21.59	21.53	6	4	10	20	0
0.00	0.0	21.63	-242.02	21.59	21.56	6	4	10	21	0
0.00	0.0	21.66	-242.02	21.59	21.53	6	4	10	22	0
0.00	0.0	21.63	-242.02	21.59	21.53	6	4	10	23	0
0.00	0.0	21.63	-242.02	21.59	21.56	6	4	10	24	0
0.00	0.0	21.63	-242.02	21.63	21.56	6	4	10	25	0
0.00	0.0	21.66	-242.02	21.59	21.53	6	4	10	26	0
0.00	0.0	21.63	-242.02	21.63	21.53	6	4	10	27	0
0.00	0.0	21.63	-242.02	21.59	21.53	6	4	10	28	0
0.00	0.0	21.63	-242.02	21.59	21.53	6	4	10	29	0
0.00	0.0	21.66	-242.02	21.59	21.53	6	4	10	30	0
0.00	0.0	21.63	-242.02	21.59	21.53	6	4	10	31	0
0.00	0.0	21.63	-242.02	21.63	21.53	6	4	10	32	0
0.00	0.0	21.63	-242.02	21.59	21.53	6	4	10	33	0
0.00	0.0	21.63	-242.02	21.59	21.53	6	4	10	34	0
0.00	0.0	21.66	-242.02	21.59	21.53	6	4	10	35	0
0.00	0.0	21.66	-242.02	21.63	21.56	6	4	10	36	0
0.00	0.0	21.63	-242.02	21.59	21.56	6	4	10	37	0
0.00	0.0	21.63	-242.02	21.59	21.56	6	4	10	38	0
0.00	0.0	21.63	-242.02	21.59	21.56	6	4	10	39	0
0.00	0.0	21.66	-242.02	21.59	21.56	6	4	10	40	0
0.00	0.0	21.63	-242.02	21.59	21.56	6	4	10	41	0
0.00	0.0	21.66	-242.02	21.63	21.53	6	4	10	42	0
0.00	0.0	21.66	-242.02	21.59	21.56	6	4	10	43	0
0.00	0.0	21.63	-242.02	21.63	21.53	6	4	10	44	0
0.00	0.0	21.66	-242.02	21.59	21.53	6	4	10	45	0
0.00	0.0	21.66	-242.02	21.59	21.56	6	4	10	46	0
0.00	-3.0	21.66	-242.02	21.59	21.56	6	4	10	47	0
0.00	82.0	21.66	-242.02	21.63	21.56	6	4	10	48	0
0.00	116.0	21.66	-242.02	21.59	21.56	6	4	10	49	0
0.00	133.5	21.66	-242.02	21.59	21.56	6	4	10	50	0
0.00	143.0	21.63	-242.02	21.63	21.56	6	4	10	51	0
0.00	149.0	21.66	-242.02	21.63	21.56	6	4	10	52	0
0.00	-195.5	21.66	-242.02	21.63	21.56	6	4	10	53	0
0.00	0.0	21.66	-242.02	21.59	21.56	6	4	10	54	0
0.00	0.0	21.66	-242.02	21.59	21.56	6	4	10	55	0
0.00	0.0	21.66	-242.02	21.59	21.56	6	4	10	56	0
0.00	0.0	21.66	-242.02	21.63	21.56	6	4	10	57	0
0.00	0.0	21.66	-242.02	21.59	21.56	6	4	10	58	0
0.00	0.0	21.66	-242.02	21.63	21.56	6	4	10	59	0
0.00	0.0	21.66	-242.02	21.63	21.56	6	4	11	0	0
0.00	0.0	21.66	-242.02	21.63	21.60	6	4	11	1	0
0.00	0.0	21.66	-242.02	21.63	21.56	6	4	11	2	0
0.00	0.0	21.66	-242.02	21.63	21.60	6	4	11	3	0
0.00	2.0	21.66	-242.02	21.63	21.56	6	4	11	4	0
0.00	8.0	21.63	-242.02	21.63	21.56	6	4	11	5	0
0.00	13.5	21.66	-242.02	21.59	21.56	6	4	11	6	0
0.00	19.5	21.66	-242.02	21.63	21.56	6	4	11	7	0
0.00	25.5	21.63	-242.02	21.63	21.56	6	4	11	8	0
0.00	32.0	21.66	-242.02	21.63	21.60	6	4	11	9	0
0.00	38.5	21.66	-242.02	21.59	21.56	6	4	11	10	0
0.00	45.0	21.66	-242.02	21.63	21.56	6	4	11	11	0
00	52.0	.66	-242.02	21.59	21.56	6	4	11	12	0
00	59.0	.66	-242.02	21.63	21.56	6	4	11	13	0
0.00	66.0	21.66	-242.02	21.63	21.56	6	4	11	14	0
	73.0	6	-242.02	21.63	21.60	6	4	11	15	0
0.00	80.5	21.66	-242.02	21.63	21.56	6	4	11	16	0
0.00	87.0	21.66	-242.02	21.63	21.56	6	4	11	17	0
0.00	95.0	21.69	-242.02	21.63	21.56	6	4	11	18	0
0.00	102.0	21.69	-242.02	21.59	21.56	6	4	11	19	0
0.00	109.5	21.66	-242.02	21.63	21.56	6	4	11	20	0
0.00	116.5	21.66	-242.02	21.59	21.56	6	4	11	21	0
0.00	124.0	21.66	-242.02	21.63	21.60	6	4	11	22	0
0.00	132.0	21.66	-242.02	21.59	21.56	6	4	11	23	0
0.00	140.0	21.66	-242.02	21.63	21.56	6	4	11	24	0
0.00	148.0	21.66	-242.02	21.63	21.60	6	4	11	25	0
0.00	156.5	21.66	-242.02	21.63	21.60	6	4	11	26	0
0.00	165.5	21.69	-242.02	21.63	21.56	6	4	11	27	0
